# Wavelength (microns); index(ordinary); index(extraordinary)# source: https://www.crystran.co.uk/optical-materials/magnesium-fluoride-mgf2
0.1137; 1.7805;  	    
0.1149; 1.7420;  	    
0.1179; 1.6800;  
0.1198; 1.6510;  	    
0.121; 1.628; 1.632	
0.130; 1.566; 1.568
0.140; 1.5095; 1.523	
0.150; 1.480; 1.494	
0.160; 1.461; 1.475
0.170; 1.448; 1.462	
0.180; 1.439; 1.453	
0.190; 1.431; 1.444
0.200; 1.423; 1.437	
0.220; 1.413; 1.426	
0.248; 1.403; 1.416
0.257; 1.401; 1.414	
0.266; 1.399; 1.412	
0.280; 1.396; 1.409
0.300; 1.393; 1.405	
0.330; 1.389; 1.402	
0.337; 1.389; 1.401
0.350; 1.387; 1.400	
0.355; 1.386; 1.399	
0.400; 1.384; 1.396
0.546; 1.379; 1.390	
0.700; 1.376; 1.388	
1.087; 1.373; 1.385
1.512; 1.370; 1.382	
2.000; 1.368; 1.379	
2.5;   1.364; 1.375
3.030; 1.360; 1.370	
3.571; 1.354; 1.364	
4.000; 1.349; 1.359
4.546; 1.341; 1.350	
5.000; 1.334; 1.343	
5.556; 1.324; 1.332
6.060; 1.314; 1.321