#x [Âµm], y Quantum efficiency
1.000000000000000, 0.000
1.326984126984127, 0.66224
1.434920634920635, 0.5984
1.6063492063492064, 0.57376
1.7777777777777777, 0.57376
2.1206349206349207, 0.63088
2.507936507936508, 0.67344
2.580952380952381, 0.7048000000000001
3.0476190476190474, 0.69696
3.3492063492063493, 0.7294400000000001
3.93968253968254, 0.7776000000000001
4.18095238095238, 0.7832
4.228571428571429, 0.8224
4.358730158730159, 0.7764800000000001
5.1460317460317455, 0.7025600000000001
5.387301587301588, 0.52336
5.580952380952381, 0.018239999999999992
5.850793650793651, 0.00
